insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
Summit Engineering Ltd,"22 Business Park, City_111, UK",United Kingdom,Food Processing,Industrial All Risks,Lockton Companies,Energy,21-03-2026,2,54303,121399,863440,0.1406,1184089257
BlueWave Group PLC,"4 Business Park, City_154, UK",Germany,Financial Advisory,Products Liability,WTW London,Financial Lines,27-03-2026,4,389571,6901150,10166692,0.6788,1234290959
Harbour Shipping Ltd,"46 Business Park, City_94, UK",France,Oil & Gas Services,Professional Indemnity,WTW London,Products Liability,02-01-2026,5,1821817,2151041,6258485,0.3437,200220848
Northbridge Foods Ltd,"200 Business Park, City_115, UK",Germany,Marine Shipping,Energy Offshore,Marsh Ltd,Marine,05-03-2026,3,211445,1851362,10189118,0.1817,1046906237
BlueWave Logistics Ltd,"217 Business Park, City_151, UK",United Kingdom,Financial Advisory,Professional Indemnity,WTW London,Marine,17-03-2026,3,1395313,1898299,2920460,0.65,1323619382
Summit Holdings Ltd,"145 Business Park, City_23, UK",United States,Retail & Distribution,Products Liability,Aon UK Ltd,Casualty,13-02-2026,0,102234,619263,730005,0.8483,1227618893
Everest Shipping Ltd,"250 Business Park, City_144, UK",Singapore,Retail & Distribution,Professional Indemnity,Marsh Ltd,Marine,23-02-2026,4,37017,3831627,5288651,0.7245,917075815
Trinity Holdings Ltd,"55 Business Park, City_149, UK",Germany,Food Processing,Professional Indemnity,Aon UK Ltd,Financial Lines,26-03-2026,2,1933906,5655098,9152125,0.6179,712828442
Redwood Industries Ltd,"104 Business Park, City_8, UK",Singapore,Construction Contractor,General Liability,Gallagher London,Energy,13-02-2026,1,1286560,4022088,11917300,0.3375,1245303906
BlueWave Engineering Ltd,"127 Business Park, City_194, UK",Germany,Electronics Manufacturing,Professional Indemnity,Marsh Ltd,Marine,10-02-2026,4,1930351,4524436,8909879,0.5078,1357043508
Oakridge Foods Ltd,"170 Business Park, City_155, UK",Netherlands,Oil & Gas Services,Industrial All Risks,Marsh Ltd,Marine,21-02-2026,1,597344,2527389,3462177,0.73,263354535
Everest Shipping Ltd,"198 Business Park, City_155, UK",France,Food Processing,Products Liability,Aon UK Ltd,Financial Lines,17-03-2026,4,635793,659015,6068280,0.1086,1314848986
Sterling Holdings Ltd,"221 Business Park, City_98, UK",Netherlands,Food Processing,General Liability,BMS Group,Casualty,27-03-2026,1,3837720,5314515,6756312,0.7866,928801196
Atlantic Industries Ltd,"68 Business Park, City_8, UK",Netherlands,Food Processing,Industrial All Risks,Aon UK Ltd,Financial Lines,30-03-2026,5,861868,3215543,13183859,0.2439,1112701919
Crown Capital Partners Ltd,"146 Business Park, City_25, UK",France,Marine Shipping,Industrial All Risks,Marsh Ltd,Marine,15-01-2026,4,842077,916827,5119084,0.1791,514166428
Redwood Holdings Ltd,"228 Business Park, City_98, UK",Singapore,Manufacturing,Industrial All Risks,BMS Group,Products Liability,01-03-2026,5,1322769,1973803,2485898,0.794,1352765190
Oakridge Engineering Ltd,"96 Business Park, City_82, UK",United Kingdom,Financial Advisory,Professional Indemnity,Aon UK Ltd,Casualty,27-01-2026,3,1825621,4377549,6291391,0.6958,173354560
Redwood Group PLC,"228 Business Park, City_94, UK",France,Retail & Distribution,Products Liability,BMS Group,Products Liability,19-01-2026,4,4467834,8101533,8731983,0.9278,327541643
Atlantic Foods Ltd,"215 Business Park, City_156, UK",Netherlands,Manufacturing,Energy Offshore,Howden UK,Products Liability,04-03-2026,6,1757922,9530119,9874748,0.9651,762100916
Northbridge Shipping Ltd,"231 Business Park, City_136, UK",Germany,Oil & Gas Services,Industrial All Risks,Lockton Companies,Financial Lines,02-01-2026,6,4853219,8123663,14232066,0.5708,842955302
Harbour Capital Partners Ltd,"210 Business Park, City_164, UK",France,Manufacturing,Professional Indemnity,Marsh Ltd,Products Liability,16-03-2026,2,4774373,10664947,12248705,0.8707,1024521699
Sterling Foods Ltd,"211 Business Park, City_198, UK",Singapore,Electronics Manufacturing,Industrial All Risks,Lockton Companies,Financial Lines,21-03-2026,4,5173337,7059363,8041193,0.8779,1431981488
Northbridge Industries Ltd,"54 Business Park, City_142, UK",United Kingdom,Manufacturing,Professional Indemnity,WTW London,Financial Lines,30-03-2026,0,7842088,12798025,14798827,0.8648,1048239694
Silverstone Foods Ltd,"39 Business Park, City_108, UK",Singapore,Construction Contractor,Marine Hull,Lockton Companies,Property Damage & BI,29-01-2026,4,172877,421693,7570805,0.0557,1140086634
Summit Foods Ltd,"10 Business Park, City_16, UK",Singapore,Financial Advisory,General Liability,Aon UK Ltd,Products Liability,24-01-2026,4,3496489,6253828,11268160,0.555,448792416
Redwood Energy Services Ltd,"210 Business Park, City_54, UK",France,Construction Contractor,Products Liability,WTW London,Products Liability,16-01-2026,3,607061,6503903,10121231,0.6426,1330958059
Greenfield Energy Services Ltd,"192 Business Park, City_21, UK",Netherlands,Manufacturing,Products Liability,Howden UK,Property Damage & BI,09-02-2026,4,117076,3664074,5356834,0.684,408623922
Silverstone Technologies Ltd,"28 Business Park, City_24, UK",France,Construction Contractor,Professional Indemnity,Marsh Ltd,Casualty,15-03-2026,0,1964644,4516587,7769804,0.5813,183136766
Ironclad Holdings Ltd,"91 Business Park, City_144, UK",France,Financial Advisory,Energy Offshore,Aon UK Ltd,Casualty,05-03-2026,1,567099,1572204,3536222,0.4446,980486218
Harbour Engineering Ltd,"133 Business Park, City_162, UK",Singapore,Marine Shipping,Industrial All Risks,Marsh Ltd,Financial Lines,01-02-2026,2,154664,823303,6176320,0.1333,1082979280
BlueWave Group PLC,"47 Business Park, City_185, UK",France,Retail & Distribution,Industrial All Risks,Aon UK Ltd,Products Liability,11-03-2026,3,2552878,14254597,14848539,0.96,1266194476
Sterling Industries Ltd,"228 Business Park, City_122, UK",France,Manufacturing,Industrial All Risks,Lockton Companies,Casualty,19-02-2026,0,2572819,2896040,12718669,0.2277,1294593158
Atlantic Energy Services Ltd,"222 Business Park, City_117, UK",Singapore,Oil & Gas Services,Marine Hull,WTW London,Financial Lines,10-03-2026,6,957130,3582707,4272758,0.8385,692814242
Highland Engineering Ltd,"67 Business Park, City_73, UK",United Kingdom,Financial Advisory,General Liability,Lockton Companies,Financial Lines,21-02-2026,2,2353019,5091112,14496333,0.3512,1101699843
Trinity Logistics Ltd,"179 Business Park, City_88, UK",United Kingdom,Manufacturing,Industrial All Risks,Aon UK Ltd,Energy,12-01-2026,0,2128392,5724879,5823886,0.983,779073978
Silverstone Technologies Ltd,"240 Business Park, City_110, UK",France,Oil & Gas Services,General Liability,Marsh Ltd,Financial Lines,12-01-2026,6,3945717,6020233,9488153,0.6345,894426229
Highland Shipping Ltd,"128 Business Park, City_134, UK",United Kingdom,Financial Advisory,Energy Offshore,Howden UK,Marine,09-03-2026,0,1034319,3236096,6613726,0.4893,329717530
BlueWave Energy Services Ltd,"202 Business Park, City_127, UK",Singapore,Marine Shipping,General Liability,WTW London,Financial Lines,15-03-2026,1,7183402,8721807,13785060,0.6327,800746979
Northbridge Industries Ltd,"53 Business Park, City_1, UK",Singapore,Manufacturing,Marine Hull,WTW London,Casualty,26-02-2026,5,81840,539407,1625212,0.3319,165945872
BlueWave Holdings Ltd,"24 Business Park, City_18, UK",United States,Food Processing,Products Liability,Marsh Ltd,Products Liability,04-03-2026,1,7816733,8823525,9124639,0.967,1211146275
Ironclad Group PLC,"33 Business Park, City_27, UK",France,Construction Contractor,General Liability,Lockton Companies,Casualty,08-03-2026,0,202933,1899046,2080691,0.9127,36595408
Harbour Energy Services Ltd,"43 Business Park, City_18, UK",Netherlands,Food Processing,General Liability,Marsh Ltd,Financial Lines,06-02-2026,2,3347501,4167180,14904078,0.2796,1153651361
Northbridge Industries Ltd,"18 Business Park, City_96, UK",Singapore,Financial Advisory,Industrial All Risks,Lockton Companies,Financial Lines,26-03-2026,5,1762489,2878432,9083093,0.3169,673306593
Trinity Technologies Ltd,"156 Business Park, City_189, UK",Netherlands,Marine Shipping,Professional Indemnity,Aon UK Ltd,Casualty,12-01-2026,3,126581,177652,275901,0.6439,253676673
Summit Shipping Ltd,"106 Business Park, City_118, UK",Netherlands,Food Processing,Marine Hull,WTW London,Property Damage & BI,10-03-2026,4,1598692,6385941,8233550,0.7756,1174652931
Redwood Industries Ltd,"60 Business Park, City_22, UK",France,Manufacturing,General Liability,Gallagher London,Property Damage & BI,01-01-2026,3,1244932,2021626,6890341,0.2934,763107387
Everest Technologies Ltd,"221 Business Park, City_10, UK",France,Construction Contractor,Industrial All Risks,Aon UK Ltd,Products Liability,01-04-2026,0,586228,892082,3916079,0.2278,298726706
Atlantic Group PLC,"187 Business Park, City_2, UK",Netherlands,Retail & Distribution,Professional Indemnity,WTW London,Financial Lines,12-01-2026,2,1038637,2449475,12471873,0.1964,641105931
Trinity Group PLC,"211 Business Park, City_88, UK",United Kingdom,Retail & Distribution,General Liability,Marsh Ltd,Products Liability,10-02-2026,4,288580,2822728,4355390,0.6481,476376223
Oakridge Industries Ltd,"163 Business Park, City_48, UK",Singapore,Marine Shipping,Professional Indemnity,BMS Group,Energy,11-03-2026,3,1061455,10569081,14720169,0.718,1065992723
Crown Foods Ltd,"230 Business Park, City_63, UK",France,Electronics Manufacturing,Industrial All Risks,Marsh Ltd,Casualty,01-03-2026,0,68672,1470870,5571481,0.264,698269516
Harbour Industries Ltd,"162 Business Park, City_41, UK",United Kingdom,Construction Contractor,General Liability,Lockton Companies,Energy,02-01-2026,3,5956744,6165703,6253883,0.9859,542754768
Highland Group PLC,"193 Business Park, City_130, UK",United States,Construction Contractor,Marine Hull,BMS Group,Marine,22-02-2026,3,1254942,1360254,4687300,0.2902,338028255
Atlantic Shipping Ltd,"49 Business Park, City_25, UK",Germany,Oil & Gas Services,Products Liability,Gallagher London,Property Damage & BI,19-02-2026,0,4697278,6815081,6970524,0.9777,961826206
Silverstone Engineering Ltd,"235 Business Park, City_31, UK",Netherlands,Marine Shipping,General Liability,Aon UK Ltd,Products Liability,28-03-2026,6,6423373,6559966,8840925,0.742,1303619564
Greenfield Shipping Ltd,"240 Business Park, City_144, UK",Netherlands,Financial Advisory,Professional Indemnity,BMS Group,Products Liability,11-02-2026,5,278259,480234,792204,0.6062,986015394
Northbridge Engineering Ltd,"148 Business Park, City_61, UK",Germany,Oil & Gas Services,Professional Indemnity,Lockton Companies,Products Liability,20-03-2026,2,2723894,3156701,9914264,0.3184,1398200593
Harbour Holdings Ltd,"200 Business Park, City_153, UK",United Kingdom,Construction Contractor,Products Liability,Lockton Companies,Marine,06-01-2026,2,284122,542603,546153,0.9935,661190382
Greenfield Foods Ltd,"223 Business Park, City_34, UK",Netherlands,Retail & Distribution,Industrial All Risks,BMS Group,Energy,26-03-2026,6,1047961,2849579,12899863,0.2209,1379217048
Trinity Logistics Ltd,"104 Business Park, City_144, UK",France,Construction Contractor,Marine Hull,Howden UK,Marine,04-02-2026,5,1939431,2017795,8396984,0.2403,1350178244
Silverstone Logistics Ltd,"224 Business Park, City_20, UK",France,Marine Shipping,Products Liability,Gallagher London,Energy,20-02-2026,4,5814691,6456104,13800993,0.4678,443862860
Atlantic Engineering Ltd,"127 Business Park, City_10, UK",France,Oil & Gas Services,Marine Hull,Marsh Ltd,Property Damage & BI,21-03-2026,4,980265,1129222,2124596,0.5315,1299612892
Oakridge Technologies Ltd,"47 Business Park, City_142, UK",United States,Construction Contractor,General Liability,Howden UK,Casualty,01-01-2026,6,211906,2112534,7222339,0.2925,58381871
Northbridge Engineering Ltd,"119 Business Park, City_163, UK",France,Retail & Distribution,Energy Offshore,Aon UK Ltd,Casualty,24-03-2026,6,151910,2356641,12752391,0.1848,174676581
Silverstone Technologies Ltd,"43 Business Park, City_154, UK",Germany,Manufacturing,Professional Indemnity,Aon UK Ltd,Marine,23-01-2026,5,470343,513585,9204041,0.0558,1331363639
Silverstone Technologies Ltd,"186 Business Park, City_80, UK",Netherlands,Electronics Manufacturing,Products Liability,WTW London,Products Liability,11-03-2026,4,2802387,8287167,12328426,0.6722,154131654
Oakridge Logistics Ltd,"160 Business Park, City_135, UK",France,Construction Contractor,Energy Offshore,Aon UK Ltd,Marine,24-01-2026,1,1254485,4753827,10772327,0.4413,983992954
Ironclad Technologies Ltd,"188 Business Park, City_101, UK",France,Retail & Distribution,General Liability,Marsh Ltd,Property Damage & BI,16-03-2026,2,3307219,10094753,13837907,0.7295,55196300
Greenfield Holdings Ltd,"36 Business Park, City_115, UK",Singapore,Food Processing,Industrial All Risks,Marsh Ltd,Products Liability,12-02-2026,1,3075615,5461624,11425993,0.478,142777780
Sterling Engineering Ltd,"178 Business Park, City_80, UK",France,Construction Contractor,Marine Hull,Lockton Companies,Products Liability,18-03-2026,1,3225425,12620501,13657073,0.9241,280078176
BlueWave Shipping Ltd,"28 Business Park, City_150, UK",United States,Oil & Gas Services,Products Liability,WTW London,Property Damage & BI,27-03-2026,4,387975,1061582,8913371,0.1191,1274687414
Everest Engineering Ltd,"116 Business Park, City_61, UK",France,Oil & Gas Services,Marine Hull,BMS Group,Financial Lines,01-04-2026,1,2279553,4934972,5193615,0.9502,677152595
Crown Technologies Ltd,"14 Business Park, City_140, UK",France,Marine Shipping,Industrial All Risks,BMS Group,Marine,19-01-2026,3,5220710,6718343,10246063,0.6557,9755500
BlueWave Technologies Ltd,"213 Business Park, City_21, UK",United Kingdom,Retail & Distribution,General Liability,Lockton Companies,Financial Lines,04-01-2026,5,3004046,7901093,10412616,0.7588,875878681
Summit Industries Ltd,"237 Business Park, City_183, UK",United Kingdom,Financial Advisory,Marine Hull,Lockton Companies,Energy,19-03-2026,2,6051018,9382358,10266286,0.9139,943494502
Harbour Industries Ltd,"168 Business Park, City_32, UK",United Kingdom,Electronics Manufacturing,General Liability,Howden UK,Energy,09-01-2026,2,60666,336537,359510,0.9361,746100944
Oakridge Group PLC,"134 Business Park, City_25, UK",Germany,Financial Advisory,Products Liability,Marsh Ltd,Financial Lines,19-02-2026,5,5425485,6909999,11186659,0.6177,862691411
Greenfield Foods Ltd,"207 Business Park, City_62, UK",United States,Financial Advisory,Industrial All Risks,Marsh Ltd,Energy,13-03-2026,6,691582,1858520,7055887,0.2634,398629374
Silverstone Capital Partners Ltd,"208 Business Park, City_20, UK",United States,Oil & Gas Services,General Liability,Lockton Companies,Casualty,05-03-2026,1,277507,3863581,4436819,0.8708,1186699020
Trinity Energy Services Ltd,"208 Business Park, City_103, UK",Germany,Financial Advisory,Energy Offshore,Aon UK Ltd,Products Liability,23-01-2026,6,2581973,3788584,7008110,0.5406,828453623
Trinity Holdings Ltd,"160 Business Park, City_192, UK",Singapore,Marine Shipping,Products Liability,Gallagher London,Marine,19-02-2026,0,363729,495013,5210670,0.095,538105004
Northbridge Logistics Ltd,"225 Business Park, City_4, UK",United Kingdom,Manufacturing,Industrial All Risks,Aon UK Ltd,Energy,26-03-2026,0,1691047,6665340,10544757,0.6321,1428618897
Sterling Foods Ltd,"15 Business Park, City_147, UK",Netherlands,Marine Shipping,Industrial All Risks,Aon UK Ltd,Casualty,07-03-2026,5,1342501,1648607,2575145,0.6402,1269937830
Greenfield Technologies Ltd,"188 Business Park, City_26, UK",Netherlands,Marine Shipping,Products Liability,Marsh Ltd,Casualty,18-01-2026,5,2419335,4763674,7442078,0.6401,734338710
Oakridge Holdings Ltd,"201 Business Park, City_151, UK",Germany,Retail & Distribution,Industrial All Risks,Marsh Ltd,Marine,27-01-2026,0,3791096,6259945,11515720,0.5436,1188820389
Northbridge Logistics Ltd,"100 Business Park, City_198, UK",France,Construction Contractor,General Liability,BMS Group,Marine,05-02-2026,2,1871316,2452020,5073496,0.4833,706933930
Trinity Shipping Ltd,"248 Business Park, City_10, UK",United States,Financial Advisory,Professional Indemnity,WTW London,Products Liability,28-02-2026,6,877365,7445432,10003268,0.7443,1283385208
Silverstone Group PLC,"148 Business Park, City_34, UK",France,Marine Shipping,Marine Hull,Marsh Ltd,Financial Lines,04-03-2026,5,8437988,8638712,12771604,0.6764,900725049
Summit Shipping Ltd,"226 Business Park, City_176, UK",United States,Retail & Distribution,Industrial All Risks,BMS Group,Products Liability,06-03-2026,2,130887,1219171,6765655,0.1802,13082264
Trinity Shipping Ltd,"172 Business Park, City_66, UK",United States,Retail & Distribution,General Liability,Howden UK,Casualty,13-02-2026,2,991258,1255765,1336632,0.9395,904601911
Ironclad Holdings Ltd,"163 Business Park, City_88, UK",United States,Financial Advisory,Energy Offshore,BMS Group,Casualty,15-03-2026,5,466640,1244749,6706624,0.1856,235589937
Redwood Technologies Ltd,"225 Business Park, City_136, UK",United States,Marine Shipping,Marine Hull,Gallagher London,Products Liability,11-02-2026,1,146769,915662,1001271,0.9145,333991182
Redwood Holdings Ltd,"122 Business Park, City_25, UK",France,Electronics Manufacturing,Products Liability,BMS Group,Products Liability,15-02-2026,3,4319588,7015740,7731696,0.9074,1427338755
Redwood Engineering Ltd,"128 Business Park, City_91, UK",Singapore,Financial Advisory,Marine Hull,Gallagher London,Marine,02-03-2026,1,1224169,2635968,3424225,0.7698,24168233
Harbour Shipping Ltd,"237 Business Park, City_144, UK",France,Construction Contractor,General Liability,Lockton Companies,Financial Lines,20-01-2026,0,130864,1009006,3472150,0.2906,296936363
Atlantic Group PLC,"106 Business Park, City_81, UK",United States,Manufacturing,Industrial All Risks,Gallagher London,Financial Lines,04-02-2026,5,288684,1338776,6267678,0.2136,1014582810
Oakridge Engineering Ltd,"249 Business Park, City_143, UK",Netherlands,Marine Shipping,Products Liability,Aon UK Ltd,Marine,13-01-2026,1,1913914,4453622,4715822,0.9444,1154842167
Harbour Foods Ltd,"10 Business Park, City_142, UK",United Kingdom,Construction Contractor,Professional Indemnity,Lockton Companies,Marine,25-01-2026,3,2529756,4800027,4861772,0.9873,442862840
Oakridge Foods Ltd,"97 Business Park, City_182, UK",Netherlands,Retail & Distribution,Products Liability,BMS Group,Energy,27-01-2026,3,4477931,7981860,10955065,0.7286,1091521276
Oakridge Engineering Ltd,"203 Business Park, City_153, UK",Netherlands,Manufacturing,General Liability,Howden UK,Marine,22-01-2026,3,3807661,8272674,11272210,0.7339,494228666
Ironclad Engineering Ltd,"126 Business Park, City_88, UK",United Kingdom,Retail & Distribution,Industrial All Risks,BMS Group,Energy,13-01-2026,6,257125,1513935,1704690,0.8881,797519956
Everest Logistics Ltd,"46 Business Park, City_191, UK",Netherlands,Financial Advisory,Professional Indemnity,Marsh Ltd,Financial Lines,24-01-2026,6,268522,304555,2295070,0.1327,1039019619
Everest Foods Ltd,"218 Business Park, City_55, UK",Netherlands,Manufacturing,Industrial All Risks,BMS Group,Casualty,27-01-2026,1,360318,485139,4300878,0.1128,1202942977
Oakridge Capital Partners Ltd,"185 Business Park, City_191, UK",Netherlands,Retail & Distribution,General Liability,Howden UK,Financial Lines,24-01-2026,3,3763839,4426965,9623839,0.46,1115449071
Greenfield Engineering Ltd,"114 Business Park, City_109, UK",United Kingdom,Oil & Gas Services,General Liability,BMS Group,Marine,16-01-2026,5,945774,5989984,11123463,0.5385,408818544
Ironclad Engineering Ltd,"226 Business Park, City_99, UK",France,Oil & Gas Services,General Liability,Gallagher London,Financial Lines,16-03-2026,6,119513,921256,1941531,0.4745,675713378
Crown Technologies Ltd,"64 Business Park, City_179, UK",France,Financial Advisory,Products Liability,Lockton Companies,Property Damage & BI,17-01-2026,1,489975,656850,2061031,0.3187,1366477930
Atlantic Logistics Ltd,"76 Business Park, City_39, UK",United States,Electronics Manufacturing,Energy Offshore,BMS Group,Casualty,25-02-2026,1,13676,25140,240350,0.1046,515886486
Crown Engineering Ltd,"109 Business Park, City_94, UK",Singapore,Food Processing,Industrial All Risks,Marsh Ltd,Property Damage & BI,29-03-2026,2,599279,1701289,3545831,0.4798,1010779563
Crown Capital Partners Ltd,"42 Business Park, City_46, UK",Singapore,Financial Advisory,Products Liability,Howden UK,Energy,09-01-2026,6,606122,620662,7569053,0.082,82778867
Ironclad Industries Ltd,"172 Business Park, City_84, UK",Netherlands,Manufacturing,General Liability,WTW London,Property Damage & BI,05-02-2026,2,1878467,2180849,2760220,0.7901,1165703821
Trinity Holdings Ltd,"212 Business Park, City_125, UK",United States,Retail & Distribution,Marine Hull,Gallagher London,Products Liability,05-02-2026,3,129174,1932253,6869014,0.2813,897331906
Redwood Logistics Ltd,"95 Business Park, City_172, UK",Germany,Food Processing,Energy Offshore,Marsh Ltd,Products Liability,29-03-2026,3,2780795,2913077,4121502,0.7068,1288325874
Summit Holdings Ltd,"233 Business Park, City_73, UK",United Kingdom,Electronics Manufacturing,Marine Hull,Lockton Companies,Products Liability,10-02-2026,1,4011750,6423412,13517283,0.4752,1196699478
BlueWave Shipping Ltd,"128 Business Park, City_105, UK",United States,Construction Contractor,Marine Hull,WTW London,Energy,09-02-2026,4,3926741,5591064,11716397,0.4772,287639531
Greenfield Shipping Ltd,"249 Business Park, City_34, UK",United States,Food Processing,Professional Indemnity,Aon UK Ltd,Energy,02-01-2026,3,2266653,2707141,4336978,0.6242,1324275887
Oakridge Engineering Ltd,"245 Business Park, City_18, UK",United Kingdom,Financial Advisory,Professional Indemnity,WTW London,Financial Lines,22-01-2026,6,382495,3473555,11818835,0.2939,811500804
Summit Technologies Ltd,"76 Business Park, City_61, UK",Singapore,Oil & Gas Services,Energy Offshore,Gallagher London,Marine,12-02-2026,3,132244,2771453,7620163,0.3637,1200199853
Redwood Capital Partners Ltd,"27 Business Park, City_158, UK",United States,Food Processing,Products Liability,Lockton Companies,Energy,15-03-2026,3,311141,312312,1465566,0.2131,1386415069
Oakridge Holdings Ltd,"235 Business Park, City_195, UK",Netherlands,Financial Advisory,General Liability,Lockton Companies,Casualty,08-03-2026,4,842416,1002379,2636453,0.3802,1450477752
Northbridge Energy Services Ltd,"150 Business Park, City_68, UK",Netherlands,Marine Shipping,Industrial All Risks,Marsh Ltd,Financial Lines,18-02-2026,1,888986,2101991,2347283,0.8955,620351690
Atlantic Industries Ltd,"88 Business Park, City_16, UK",United States,Food Processing,General Liability,Lockton Companies,Products Liability,20-02-2026,1,2708056,4994071,6467329,0.7722,914014242
Harbour Industries Ltd,"17 Business Park, City_76, UK",United Kingdom,Food Processing,General Liability,Lockton Companies,Products Liability,16-01-2026,5,2348124,5636692,13312925,0.4234,674809715
Atlantic Technologies Ltd,"78 Business Park, City_82, UK",Germany,Financial Advisory,Products Liability,Aon UK Ltd,Casualty,20-01-2026,3,226011,471032,647289,0.7277,565657881
Everest Energy Services Ltd,"229 Business Park, City_142, UK",France,Electronics Manufacturing,Professional Indemnity,BMS Group,Financial Lines,04-03-2026,2,15956,3420413,8239975,0.4151,1193931897
Harbour Shipping Ltd,"41 Business Park, City_117, UK",United States,Oil & Gas Services,Professional Indemnity,Marsh Ltd,Products Liability,04-01-2026,6,2509065,3779857,11433327,0.3306,63295134
Redwood Industries Ltd,"145 Business Park, City_171, UK",United Kingdom,Construction Contractor,Energy Offshore,Howden UK,Property Damage & BI,28-03-2026,0,2355673,4883050,9773920,0.4996,1269012884
Everest Engineering Ltd,"20 Business Park, City_43, UK",United Kingdom,Manufacturing,Marine Hull,Howden UK,Products Liability,08-02-2026,5,729522,1785121,4302534,0.4149,346551687
Northbridge Group PLC,"107 Business Park, City_183, UK",Singapore,Marine Shipping,Professional Indemnity,Lockton Companies,Casualty,20-02-2026,5,334327,2066375,4031166,0.5126,503638268
Northbridge Logistics Ltd,"69 Business Park, City_51, UK",Singapore,Marine Shipping,Energy Offshore,WTW London,Financial Lines,26-02-2026,3,8647167,10738718,14698493,0.7306,254634260
Oakridge Engineering Ltd,"182 Business Park, City_2, UK",United Kingdom,Construction Contractor,Energy Offshore,BMS Group,Products Liability,09-01-2026,5,2061822,3246489,5261734,0.617,1094658502
Ironclad Group PLC,"223 Business Park, City_188, UK",United Kingdom,Marine Shipping,Industrial All Risks,Lockton Companies,Marine,21-03-2026,5,6988601,7753046,10998789,0.7049,1061452785
Summit Logistics Ltd,"73 Business Park, City_143, UK",Netherlands,Marine Shipping,General Liability,Lockton Companies,Casualty,29-01-2026,5,484804,1195575,1253618,0.9537,1076725481
Redwood Technologies Ltd,"219 Business Park, City_20, UK",United States,Food Processing,Products Liability,Gallagher London,Products Liability,21-01-2026,4,6079248,7726067,14088379,0.5484,294968968
BlueWave Holdings Ltd,"182 Business Park, City_14, UK",Netherlands,Marine Shipping,Marine Hull,Gallagher London,Property Damage & BI,28-03-2026,5,2716861,11491031,13955589,0.8234,1019129514
Harbour Energy Services Ltd,"86 Business Park, City_8, UK",United States,Manufacturing,Industrial All Risks,Aon UK Ltd,Energy,09-01-2026,4,2470580,2473190,5246479,0.4714,420487361
Greenfield Shipping Ltd,"182 Business Park, City_173, UK",Germany,Financial Advisory,General Liability,Marsh Ltd,Property Damage & BI,01-04-2026,0,1018902,4531033,5593869,0.81,854398319
Crown Logistics Ltd,"229 Business Park, City_176, UK",Netherlands,Manufacturing,Energy Offshore,Gallagher London,Casualty,31-03-2026,4,4737833,5393653,13579187,0.3972,1177955156
Trinity Group PLC,"165 Business Park, City_172, UK",France,Electronics Manufacturing,Energy Offshore,Howden UK,Marine,19-02-2026,3,4336781,5263242,7380792,0.7131,719467827
Ironclad Engineering Ltd,"220 Business Park, City_10, UK",Singapore,Food Processing,Marine Hull,Howden UK,Products Liability,26-02-2026,4,684503,2036770,13089783,0.1556,898339532
Everest Holdings Ltd,"121 Business Park, City_181, UK",Singapore,Oil & Gas Services,Products Liability,Marsh Ltd,Products Liability,31-01-2026,4,366860,1465534,2122425,0.6905,461312119
Everest Holdings Ltd,"233 Business Park, City_116, UK",Germany,Construction Contractor,Professional Indemnity,Lockton Companies,Property Damage & BI,18-03-2026,0,347234,704126,861844,0.817,60189051
Summit Capital Partners Ltd,"161 Business Park, City_65, UK",United Kingdom,Food Processing,Marine Hull,Howden UK,Marine,01-01-2026,1,1049391,2552631,7424756,0.3438,520148322
Redwood Shipping Ltd,"159 Business Park, City_69, UK",France,Retail & Distribution,Professional Indemnity,Howden UK,Casualty,30-01-2026,0,1880545,2971902,5026048,0.5913,1022664776
Harbour Group PLC,"65 Business Park, City_170, UK",United States,Oil & Gas Services,General Liability,Gallagher London,Products Liability,01-03-2026,6,7032938,7941688,9247425,0.8588,926258489
Everest Group PLC,"163 Business Park, City_146, UK",Singapore,Manufacturing,Energy Offshore,WTW London,Marine,19-02-2026,5,145641,320421,1054366,0.3039,1308644939
Sterling Shipping Ltd,"66 Business Park, City_100, UK",France,Financial Advisory,Energy Offshore,Aon UK Ltd,Marine,01-03-2026,5,1301570,4674529,9888999,0.4727,794817614
Atlantic Technologies Ltd,"33 Business Park, City_154, UK",Singapore,Electronics Manufacturing,Professional Indemnity,Aon UK Ltd,Property Damage & BI,10-02-2026,4,2680056,5912479,8309880,0.7115,801389614
Redwood Group PLC,"18 Business Park, City_156, UK",Germany,Financial Advisory,Energy Offshore,Howden UK,Property Damage & BI,05-01-2026,4,963868,5260444,5366158,0.9803,1214924587
Ironclad Logistics Ltd,"9 Business Park, City_115, UK",United Kingdom,Oil & Gas Services,Marine Hull,BMS Group,Energy,12-03-2026,6,1767969,1824840,4652831,0.3922,1280418831
Redwood Holdings Ltd,"136 Business Park, City_56, UK",France,Financial Advisory,General Liability,Gallagher London,Marine,01-04-2026,6,574377,1190112,1906926,0.6241,1293146805
Atlantic Group PLC,"229 Business Park, City_8, UK",Germany,Food Processing,General Liability,Lockton Companies,Marine,24-02-2026,2,566781,926589,3599803,0.2574,258767977
BlueWave Group PLC,"226 Business Park, City_112, UK",Netherlands,Manufacturing,Marine Hull,Aon UK Ltd,Products Liability,07-02-2026,5,7367121,8159991,12099632,0.6744,647005750
